date,isStair,value
2018-11-17 18:35:44,1,9
2018-11-17 18:35:45,1,9
2018-11-17 18:35:46,1,9
2018-11-17 18:35:47,1,9
2018-11-17 18:35:48,1,9
2018-11-17 18:35:49,1,9
2018-11-17 18:35:50,1,9
2018-11-17 18:35:51,1,9
2018-11-17 18:35:52,1,9
2018-11-17 18:35:53,1,9
2018-11-17 18:35:54,1,9
2018-11-17 18:35:55,1,9
2018-11-17 18:35:56,1,9
2018-11-17 18:35:57,1,9
2018-11-17 18:35:58,1,9
2018-11-17 18:35:59,1,9
2018-11-17 18:36:00,1,9
2018-11-17 18:36:01,1,9
2018-11-17 18:36:02,1,9
2018-11-17 18:36:03,1,9
2018-11-17 18:36:04,1,9
2018-11-17 18:36:05,1,9
2018-11-17 18:36:06,1,9
2018-11-17 18:36:07,1,9
2018-11-17 18:36:08,1,9
2018-11-17 18:36:09,1,9
2018-11-17 18:40:30,1,4
2018-11-17 18:40:31,1,4
2018-11-17 18:40:32,1,4
2018-11-17 18:40:33,1,4
2018-11-17 18:40:34,1,4
2018-11-17 18:40:35,1,4
2018-11-17 18:40:36,1,4
2018-11-17 18:40:37,1,4
2018-11-17 18:40:38,1,4
2018-11-17 18:40:39,1,4
2018-11-17 18:40:40,1,4
2018-11-17 18:40:41,1,4
2018-11-17 18:40:42,1,4
2018-11-17 18:40:43,1,4
2018-11-17 18:40:44,1,4
2018-11-17 18:40:45,1,4
2018-11-17 18:40:46,1,4
2018-11-17 18:40:47,1,4
2018-11-17 18:40:48,1,4
2018-11-17 18:40:49,1,4
2018-11-17 18:40:50,1,4
2018-11-17 18:40:51,1,4
2018-11-17 18:40:52,1,4
2018-11-17 18:40:53,1,4
2018-11-17 18:40:54,1,4
2018-11-17 18:40:55,1,4
2018-11-17 18:40:56,1,4
2018-11-17 18:40:57,1,4
2018-11-17 18:40:58,1,4
2018-11-17 18:40:59,1,4
2018-11-17 18:41:00,1,4
2018-11-17 18:41:01,1,4
2018-11-17 18:41:02,1,4
2018-11-17 18:41:03,1,4
2018-11-17 18:41:04,1,4
2018-11-17 18:41:05,1,4
2018-11-17 18:41:06,1,4
2018-11-17 18:41:07,1,4
2018-11-17 18:41:08,1,4
2018-11-17 18:41:09,1,4
2018-11-17 18:41:10,1,4
2018-11-17 18:41:11,1,4
2018-11-17 18:41:12,1,4
2018-11-17 18:41:13,1,4
2018-11-17 18:41:14,1,4
2018-11-17 18:41:15,1,4
2018-11-17 18:41:16,1,4
2018-11-17 18:41:17,1,4
2018-11-17 18:41:18,1,4
2018-11-17 18:41:19,1,4
2018-11-17 18:41:20,1,4
2018-11-17 18:41:21,1,4
2018-11-17 18:41:22,1,4
2018-11-17 18:41:23,1,4
2018-11-17 18:41:24,1,4
2018-11-17 18:41:25,1,4
2018-11-17 18:41:26,1,4
2018-11-17 18:41:27,1,4
2018-11-17 18:41:28,1,4
2018-11-17 18:41:29,1,4
2018-11-17 18:41:30,1,4
2018-11-17 18:41:31,1,4
2018-11-17 18:41:32,1,4
2018-11-17 18:41:33,1,4
2018-11-17 18:41:34,1,4
2018-11-17 18:41:35,1,4
2018-11-17 18:41:36,1,4
2018-11-17 18:41:37,1,4
2018-11-17 18:41:38,1,4
2018-11-17 18:41:39,1,4
2018-11-17 18:41:40,1,4
2018-11-17 18:41:41,1,4
2018-11-17 18:41:42,1,4
2018-11-17 18:41:43,1,4
2018-11-17 18:41:44,1,4
2018-11-17 18:41:45,1,4
2018-11-17 18:41:46,1,4
2018-11-17 18:41:47,1,4
2018-11-17 18:41:48,1,4
2018-11-17 18:41:49,1,4
2018-11-17 18:41:50,1,4
2018-11-17 18:41:51,1,4
2018-11-17 18:41:52,1,4
2018-11-17 18:41:53,1,4
2018-11-17 18:41:54,1,4
2018-11-17 18:41:55,1,4
2018-11-17 18:41:56,1,4
2018-11-17 18:41:57,1,4
2018-11-17 18:41:58,1,4
2018-11-17 18:41:59,1,4
2018-11-17 18:42:00,1,4
2018-11-17 18:42:01,1,4
2018-11-17 18:42:02,1,4
2018-11-17 18:42:03,1,4
2018-11-17 18:42:04,1,4
2018-11-17 18:42:05,1,4
2018-11-17 18:42:06,1,4
2018-11-17 18:42:07,1,4
2018-11-17 18:42:08,1,4
2018-11-17 18:42:09,1,4
2018-11-17 18:42:10,1,4
2018-11-17 18:42:11,1,4
2018-11-17 18:42:12,1,4
2018-11-17 18:42:13,1,4
2018-11-17 18:42:14,1,4
2018-11-17 18:42:15,1,4
2018-11-17 18:42:16,1,4
2018-11-17 18:42:17,1,4
2018-11-17 18:42:18,1,4
2018-11-17 18:42:19,1,4
2018-11-17 18:42:20,1,4
2018-11-17 18:42:21,1,4
2018-11-17 18:42:22,1,4
2018-11-17 18:42:23,1,4
2018-11-17 18:42:24,1,4
2018-11-17 18:42:25,1,4
2018-11-17 18:42:26,1,4
2018-11-17 18:42:27,1,4
2018-11-17 18:42:28,1,4
2018-11-17 18:42:29,1,4
2018-11-17 18:42:30,1,4
2018-11-17 18:42:31,1,4
2018-11-17 18:42:32,1,4
2018-11-17 18:42:33,1,4
2018-11-17 18:42:34,1,4
2018-11-17 18:42:35,1,4
2018-11-17 18:42:36,1,4
2018-11-17 18:42:37,1,4
2018-11-17 18:42:38,1,4
2018-11-17 18:42:39,1,4
2018-11-17 18:42:40,1,4
2018-11-17 18:42:41,1,4
2018-11-17 18:42:42,1,4
2018-11-17 18:42:43,1,4
2018-11-17 18:42:44,1,4
2018-11-17 18:42:45,1,4
2018-11-17 18:42:46,1,4
2018-11-17 18:42:47,1,4
2018-11-17 18:42:48,1,4
2018-11-17 18:42:49,1,4
2018-11-17 18:42:50,1,4
2018-11-17 18:42:51,1,4
2018-11-17 18:42:52,1,4
2018-11-17 18:42:53,1,4
2018-11-17 18:42:54,1,4
2018-11-17 18:42:55,1,4
2018-11-17 18:42:56,1,4
2018-11-17 18:42:57,1,4
2018-11-17 18:42:58,1,4
2018-11-17 18:42:59,1,4
2018-11-17 18:43:00,1,4
2018-11-17 18:43:01,1,4
2018-11-17 18:43:02,1,4
2018-11-17 18:43:03,1,4
2018-11-17 18:43:04,1,4
2018-11-17 18:43:05,1,4
2018-11-17 18:43:06,1,4
2018-11-17 18:43:07,1,4
2018-11-17 18:43:08,1,4
2018-11-17 18:43:09,1,4
2018-11-17 18:43:10,1,4
2018-11-17 18:43:11,1,4
2018-11-17 18:43:12,1,4
2018-11-17 18:43:13,1,4
2018-11-17 18:43:14,1,4
2018-11-17 18:43:15,1,4
2018-11-17 18:43:16,1,4
2018-11-17 18:43:17,1,4
2018-11-17 18:43:18,1,4
2018-11-17 18:43:19,1,4
2018-11-17 18:43:20,1,4
2018-11-17 18:43:21,1,4
2018-11-17 18:43:22,1,4
2018-11-17 18:43:23,1,4
2018-11-17 18:43:24,1,4
2018-11-17 18:43:25,1,4
2018-11-17 18:43:26,1,4
2018-11-17 18:43:27,1,4
2018-11-17 18:43:28,1,4
2018-11-17 18:43:29,1,4
2018-11-17 18:43:30,1,4
2018-11-17 18:43:31,1,4
2018-11-17 18:43:32,1,4
2018-11-17 18:43:33,1,4
2018-11-17 18:43:34,1,4
2018-11-17 18:43:35,1,4
2018-11-17 18:43:36,1,4
2018-11-17 18:43:37,1,4
2018-11-17 18:43:38,1,4
2018-11-17 18:43:39,1,4
2018-11-17 18:43:40,1,4
2018-11-17 18:43:41,1,4
2018-11-17 18:43:42,1,4
2018-11-17 18:43:43,1,4
2018-11-17 18:43:44,1,4
2018-11-17 18:43:45,1,4
2018-11-17 18:43:46,1,4
2018-11-17 18:43:47,1,4
2018-11-17 18:43:48,1,4
2018-11-17 18:43:49,1,4
2018-11-17 18:43:50,1,4
2018-11-17 18:43:51,1,4
2018-11-17 18:43:52,1,4
2018-11-17 18:43:53,1,4
2018-11-17 18:43:54,1,4
2018-11-17 18:43:55,1,4
2018-11-17 18:43:56,1,4
2018-11-17 18:43:57,1,4
2018-11-17 18:43:58,1,4
2018-11-17 18:43:59,1,4
2018-11-17 18:44:00,1,4
2018-11-17 18:44:01,1,4
2018-11-17 18:44:02,1,4
2018-11-17 18:44:03,1,4
2018-11-17 18:44:04,1,4
2018-11-17 18:44:05,1,4
2018-11-17 18:44:06,1,4
2018-11-17 18:44:07,1,4
2018-11-17 18:44:08,1,4
2018-11-17 18:44:09,1,4
2018-11-17 18:44:10,1,4
2018-11-17 18:44:11,1,4
2018-11-17 18:44:12,1,4
2018-11-17 18:44:13,1,4
2018-11-17 18:44:14,1,4
2018-11-17 18:44:15,1,4
2018-11-17 18:44:16,1,4
2018-11-17 18:44:17,1,4
2018-11-17 18:44:18,1,4
2018-11-17 18:44:19,1,4
2018-11-17 18:44:20,1,4
2018-11-17 18:44:21,1,4
2018-11-17 18:44:22,1,4
2018-11-17 18:44:23,1,4
2018-11-17 18:44:24,1,4
2018-11-17 18:44:25,1,4
2018-11-17 18:44:26,1,4
2018-11-17 18:44:27,1,4
2018-11-17 18:44:28,1,4
2018-11-17 18:44:29,1,4
2018-11-17 18:44:30,1,4
2018-11-17 18:44:31,1,4
2018-11-17 18:44:32,1,4
2018-11-17 18:44:33,1,4
2018-11-17 18:44:34,1,4
2018-11-17 18:44:35,1,4
2018-11-17 18:44:36,1,4
2018-11-17 18:44:37,1,4
2018-11-17 18:44:38,1,4
2018-11-17 18:44:39,1,4
2018-11-17 18:44:40,1,4
2018-11-17 18:44:41,1,4
2018-11-17 18:44:42,1,4
2018-11-17 18:44:43,1,4
2018-11-17 18:44:44,1,4
2018-11-17 18:44:45,1,4
2018-11-17 18:44:46,1,4
2018-11-17 18:44:47,1,4
2018-11-17 18:44:48,1,4
2018-11-17 18:44:49,1,4
2018-11-17 18:44:50,1,4
2018-11-17 18:44:51,1,4
2018-11-17 18:44:52,1,4
2018-11-17 18:44:53,1,4
2018-11-17 18:44:54,1,4
2018-11-17 18:44:55,1,4
2018-11-17 18:44:56,1,4
2018-11-17 18:44:57,1,4
2018-11-17 18:44:58,1,4
2018-11-17 18:44:59,1,4
2018-11-17 18:45:00,1,4
2018-11-17 18:45:01,1,4
2018-11-17 18:45:02,1,4
2018-11-17 18:45:03,1,4
2018-11-17 18:45:04,1,4
2018-11-17 18:45:05,1,4
2018-11-17 18:45:06,1,4
2018-11-17 18:45:07,1,4
2018-11-17 18:45:08,1,4
2018-11-17 18:45:09,1,4
2018-11-17 18:45:10,1,4
2018-11-17 18:45:11,1,4
2018-11-17 18:45:12,1,4
2018-11-17 18:45:13,1,4
2018-11-17 18:45:14,1,4
2018-11-17 18:45:15,1,4
2018-11-17 18:45:16,1,4
2018-11-17 18:45:17,1,4
2018-11-17 18:45:18,1,4
2018-11-17 18:45:19,1,4
2018-11-17 18:45:20,1,4
2018-11-17 18:45:21,1,4
2018-11-17 18:45:22,1,4
2018-11-17 18:45:23,1,4
2018-11-17 18:45:24,1,4
2018-11-17 18:45:25,1,4
2018-11-17 18:45:26,1,4
2018-11-17 18:45:27,1,4
2018-11-17 18:45:28,1,4
2018-11-17 18:45:29,1,4
2018-11-17 18:45:30,1,4
2018-11-17 18:45:31,1,4
2018-11-17 18:45:32,1,4
2018-11-17 18:45:33,1,4
2018-11-17 18:45:34,1,4
2018-11-17 18:45:35,1,4
2018-11-17 18:45:36,1,4
2018-11-17 18:45:37,1,4
2018-11-17 18:45:38,1,4
2018-11-17 18:45:39,1,4
2018-11-17 18:45:40,1,4
2018-11-17 18:45:41,1,4
2018-11-17 18:45:42,1,4
2018-11-17 18:45:43,1,4
2018-11-17 18:45:44,1,4
2018-11-17 18:45:45,1,4
2018-11-17 18:45:46,1,4
2018-11-17 18:45:47,1,4
2018-11-17 18:45:48,1,4
2018-11-17 18:45:49,1,4
2018-11-17 18:45:50,1,4
2018-11-17 18:45:51,1,4
2018-11-17 18:45:52,1,4
2018-11-17 18:45:53,1,4
2018-11-17 18:45:54,1,4
2018-11-17 18:45:55,1,4
2018-11-17 18:45:56,1,4
2018-11-17 18:45:57,1,4
2018-11-17 18:45:58,1,4
2018-11-17 18:45:59,1,4
2018-11-17 18:46:00,1,4
2018-11-17 18:46:01,1,4
2018-11-17 18:46:02,1,4
2018-11-17 18:46:03,1,4
2018-11-17 18:46:04,1,4
2018-11-17 18:46:05,1,4
2018-11-17 18:46:06,1,4
2018-11-17 18:46:07,1,4
2018-11-17 18:46:08,1,4
2018-11-17 18:46:09,1,4
2018-11-17 18:46:10,1,4
2018-11-17 18:46:11,1,4
2018-11-17 18:46:12,1,4
2018-11-17 18:46:13,1,4
2018-11-17 18:46:14,1,4
2018-11-17 18:46:15,1,4
2018-11-17 18:46:16,1,4
2018-11-17 18:46:17,1,4
2018-11-17 18:46:18,1,4
2018-11-17 18:46:19,1,4
2018-11-17 18:46:20,1,4
2018-11-17 18:46:21,1,4
2018-11-17 18:46:22,1,4
2018-11-17 18:46:23,1,4
2018-11-17 18:46:24,1,4
2018-11-17 18:46:25,1,4
2018-11-17 18:46:26,1,4
2018-11-17 18:46:27,1,4
2018-11-17 18:46:28,1,4
2018-11-17 18:46:29,1,4
2018-11-17 18:46:30,1,4
2018-11-17 18:46:31,1,4
2018-11-17 18:46:32,1,4
2018-11-17 18:46:33,1,4
2018-11-17 18:46:34,1,4
2018-11-17 18:46:35,1,4
2018-11-17 18:46:36,1,4
2018-11-17 18:46:37,1,4
2018-11-17 18:46:38,1,4
2018-11-17 18:46:39,1,4
2018-11-17 18:46:40,1,4
2018-11-17 18:46:41,1,4
2018-11-17 18:46:42,1,4
2018-11-17 18:46:43,1,4
2018-11-17 18:46:44,1,4
2018-11-17 18:46:45,1,4
2018-11-17 18:46:46,1,4
2018-11-17 18:46:47,1,4
2018-11-17 18:46:48,1,4
2018-11-17 18:46:49,1,4
2018-11-17 18:46:50,1,4
2018-11-17 18:46:51,1,4
2018-11-17 18:46:52,1,4
2018-11-17 18:46:53,1,4
2018-11-17 18:46:54,1,4
2018-11-17 18:46:55,1,4
2018-11-17 18:46:56,1,4
2018-11-17 18:46:57,1,4
2018-11-17 18:46:58,1,4
2018-11-17 18:46:59,1,4
2018-11-17 18:47:00,1,4
2018-11-17 18:47:01,1,4
2018-11-17 18:47:02,1,4
2018-11-17 18:47:03,1,4
2018-11-17 18:47:04,1,4
2018-11-17 18:47:05,1,4
2018-11-17 18:47:06,1,4
2018-11-17 18:47:07,1,4
2018-11-17 18:47:08,1,4
2018-11-17 18:47:09,1,4
2018-11-17 18:47:10,1,4
2018-11-17 18:47:11,1,4
2018-11-17 18:47:12,1,4
2018-11-17 18:47:13,1,4
2018-11-17 18:47:14,1,4
2018-11-17 18:47:15,1,4
2018-11-17 18:47:16,1,4
2018-11-17 18:47:17,1,4
2018-11-17 18:47:18,1,4
2018-11-17 18:47:19,1,4
2018-11-17 18:47:20,1,4
2018-11-17 18:47:21,1,4
2018-11-17 18:47:22,1,4
2018-11-17 18:47:23,1,4
2018-11-17 18:47:24,1,4
2018-11-17 18:47:25,1,4
2018-11-17 18:47:26,1,4
2018-11-17 18:47:27,1,4
